HAFTALAR,VAKA_SAYISI,VEFAT_SAYISI
1,2818217,95767
2,3124730,102438
3,3407354,109536
4,3669995,116309
5,4091007,124614
6,4282164,129952
7,4490883,134136
8,4591364,137272
9,4745464,142058
10,5028694,147494
11,5273863,150747
12,5364086,152640
13,5566049,160496
14,5675032,162628
15,5863093,165798
16,6118708,170115
17,6386787,173817
18,6674999,177317
19,6927145,181835
20,7263619,187291
21,7733746,196018
22,8131612,203580
23,8573864,211491
24,8933356,218878
25,9339420,227563
26,9659167,234850
27,9978747,242090
28,10324463,249957
29,10793732,260970
30,11277717,272889
31,11780820,287499
32,12490362,310550
33,12953597,330193
34,13445006,351334
35,13900091,371678
36,14340787,390797
37,14779529,408622
38,15282705,425540
39,15812055,441691
40,16342162,456674
41,16803472,469388
42,17210969,482019
43,17801462,498499
44,18386894,512735
45,18742025,523587
46,19106971,534233
47,19419437,544180
48,19797086,553179
49,19985817,558432
50,20245085,565748
51,20494212,572641
52,20728605,578326
53,20856060,582670
54,20989164,586558
55,21230325,590508
56,21351972,594443
57,21468121,597948
58,21582738,601213
59,21651910,603495
60,21762458,607010
